ts_code,inputs,pr_value,strategy,error
002938.SZ,"{'pb': 3.4166, 'roe': 11.73}",2.483122312270473,pb_roe_squared,
002939.SZ,"{'pb': 1.2236, 'roe': 5.38}",4.227415320407402,pb_roe_squared,
002945.SZ,"{'pb': 6.0969, 'roe': 5.43}",20.678041980810516,pb_roe_squared,
002966.SZ,"{'pe': 7.6654, 'roe': 11.68, 'dividend_payout_ratio': 0.3097195383060054}",1.0594815073095718,dividend_correction,
003816.SZ,"{'pe': 17.5117, 'roe': 9.33, 'dividend_payout_ratio': 0.4400845841730298}",2.1324581329295067,dividend_correction,
300014.SZ,"{'pb': 2.5806, 'roe': 11.3}",2.0209883311144177,pb_roe_squared,
300015.SZ,"{'pe': 34.3796, 'roe': 17.89, 'dividend_payout_ratio': 0.32085457651202537}",2.9946925692748123,dividend_correction,
300033.SZ,"{'pb': 23.9866, 'roe': 24.8}",3.9000065036420386,pb_roe_squared,
300059.SZ,"{'pb': 4.591, 'roe': 12.64}",2.8735128585162633,pb_roe_squared,
300085.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
300122.SZ,"{'pb': 1.8726, 'roe': 6.46}",4.4872470741596295,pb_roe_squared,
300124.SZ,"{'pe': 41.1386, 'roe': 16.52, 'dividend_payout_ratio': 0.23043309535859238}",4.98046004842615,dividend_correction,
300207.SZ,"{'pb': 1.6549, 'roe': 6.26}",4.223019526584941,pb_roe_squared,
300223.SZ,"{'pb': 2.7361, 'roe': 3.08}",28.842342722212855,pb_roe_squared,
300251.SZ,"{'pb': 5.5722, 'roe': 3.36}",49.35693027210884,pb_roe_squared,
300255.SZ,,,,unsupported operand type(s) for /: 'NoneType' and 'float'
300274.SZ,"{'pb': 4.0739, 'roe': 33.99}",0.3526208883581268,pb_roe_squared,
300280.SZ,,,,无法获取 300280.SZ 在 20250725 的基本估值指标。
300308.SZ,"{'pb': 10.1326, 'roe': 31.23}",1.038907616212192,pb_roe_squared,
300316.SZ,"{'pb': 2.2541, 'roe': 15.97}",0.883819026673761,pb_roe_squared,
300339.SZ,"{'pe': 271.0852, 'roe': 4.72, 'dividend_payout_ratio': 0.0}",114.86661016949152,dividend_correction,
300347.SZ,"{'pb': 2.6595, 'roe': 1.94}",70.663726219577,pb_roe_squared,
300394.SZ,"{'pb': 16.3635, 'roe': 36.74}",1.212265921959219,pb_roe_squared,
300395.SZ,"{'pb': 9.5184, 'roe': 8.39}",13.5219719258269,pb_roe_squared,
300408.SZ,"{'pb': 3.2863, 'roe': 11.5}",2.484914933837429,pb_roe_squared,
300413.SZ,"{'pb': 1.8745, 'roe': 6.21}",4.860738355102285,pb_roe_squared,
300418.SZ,"{'pb': 3.23, 'roe': -10.83}",2.7538837861042262,pb_roe_squared,
300433.SZ,"{'pb': 2.4076, 'roe': 7.64}",4.124749869795236,pb_roe_squared,
300442.SZ,"{'pb': 8.2802, 'roe': 19.5}",2.1775673898750822,pb_roe_squared,
300450.SZ,"{'pb': 3.4905, 'roe': 2.44}",58.62839290513303,pb_roe_squared,
300454.SZ,"{'pb': 4.9285, 'roe': 2.22}",100.00202905608309,pb_roe_squared,
300458.SZ,"{'pb': 11.4695, 'roe': 5.63}",36.18492660165505,pb_roe_squared,
300474.SZ,"{'pb': 5.8538, 'roe': -4.16}",33.82604474852071,pb_roe_squared,
300476.SZ,"{'pe': 116.2252, 'roe': 13.95, 'dividend_payout_ratio': 0.2236805717594393}",16.663111111111114,dividend_correction,
300498.SZ,"{'pb': 2.9517, 'roe': 24.59}",0.4881520953395756,pb_roe_squared,
300502.SZ,"{'pb': 17.8455, 'roe': 41.0}",1.0616002379535991,pb_roe_squared,
300588.SZ,,,,无法获取 300588.SZ 在 20250725 的基本估值指标。
300628.SZ,"{'pe': 16.5683, 'roe': 30.68}",0.540035853976532,basic,
300661.SZ,"{'pb': 9.7367, 'roe': 11.9}",6.8757149918791045,pb_roe_squared,
300723.SZ,"{'pb': 16.8231, 'roe': -24.57}",2.786735265367744,pb_roe_squared,
300748.SZ,"{'pb': 5.6202, 'roe': 4.19}",32.012804666184394,pb_roe_squared,
300750.SZ,"{'pb': 4.6168, 'roe': 24.13}",0.7929146052197921,pb_roe_squared,
300759.SZ,"{'pe': 29.7465, 'roe': 13.7, 'dividend_payout_ratio': 0.23131481520020425}",4.342554744525548,dividend_correction,
300760.SZ,"{'pe': 24.0899, 'roe': 32.58, 'dividend_payout_ratio': 0.4183429542231257}",0.8837337937303398,dividend_correction,
300765.SZ,"{'pb': 19.9162, 'roe': 1.1}",1645.96694214876,pb_roe_squared,
300779.SZ,"{'pb': 27.8967, 'roe': 3.17}",277.6094895958762,pb_roe_squared,
300782.SZ,"{'pb': 4.0548, 'roe': 4.02}",25.090963094972906,pb_roe_squared,
300803.SZ,"{'pb': 24.9847, 'roe': 5.27}",89.96071710192311,pb_roe_squared,
300832.SZ,"{'pe': 24.5454, 'roe': 22.85, 'dividend_payout_ratio': 0.45736353542999103}",1.1743360077151337,dividend_correction,
300866.SZ,"{'pe': 31.4937, 'roe': 24.87, 'dividend_payout_ratio': 0.42032823441935346}",1.5063619661331915,dividend_correction,
300896.SZ,"{'pe': 29.6116, 'roe': 28.01, 'dividend_payout_ratio': 0.4078696553061547}",1.2959772380325105,dividend_correction,
300919.SZ,"{'pb': 1.6583, 'roe': 7.39}",3.0365065617326565,pb_roe_squared,
300979.SZ,"{'pe': 17.388, 'roe': 23.77, 'dividend_payout_ratio': 0.44004959753539613}",0.8311680219761615,dividend_correction,
300999.SZ,"{'pb': 1.7788, 'roe': 2.7}",24.40054869684499,pb_roe_squared,
